epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,22273,1.95331,6.77051,1.50405,0.6307,0.53444,0.55314,0.2161,2.19569,7.50795,1.68405,0.000283085,0.000283085,0.000283085
83,22543.4,1.95467,6.79692,1.50454,0.61648,0.54957,0.55057,0.21694,2.19921,7.50785,1.67556,0.000268938,0.000268938,0.000268938
84,22817.4,1.95163,6.68656,1.5025,0.61842,0.55131,0.55342,0.21611,2.20015,7.53419,1.68542,0.000254791,0.000254791,0.000254791
85,23080.6,1.9454,6.6751,1.49473,0.62085,0.55544,0.56308,0.21713,2.19482,7.46836,1.6802,0.000240644,0.000240644,0.000240644
86,23385.9,1.87309,5.67272,1.46894,0.63187,0.54548,0.55813,0.21799,2.19465,7.46209,1.67684,0.000226497,0.000226497,0.000226497
87,23644.1,1.86476,5.54483,1.46724,0.65109,0.54873,0.56693,0.21851,2.18906,7.4112,1.67736,0.000212349,0.000212349,0.000212349
88,23905.2,1.85711,5.42443,1.45743,0.64905,0.55238,0.56985,0.22129,2.19587,7.4298,1.68152,0.000198202,0.000198202,0.000198202
89,24162.3,1.8513,5.41762,1.45965,0.64107,0.54443,0.56067,0.22008,2.20006,7.41145,1.69008,0.000184055,0.000184055,0.000184055
90,24431.1,1.84927,5.37794,1.46086,0.62957,0.55615,0.55917,0.21961,2.20562,7.40627,1.69188,0.000169908,0.000169908,0.000169908
91,24690.7,1.84312,5.3559,1.45788,0.63619,0.55148,0.56232,0.22257,2.20045,7.40494,1.69108,0.000155761,0.000155761,0.000155761
92,24950.2,1.83755,5.31825,1.45595,0.62902,0.56168,0.569,0.22137,2.20385,7.41241,1.69442,0.000141614,0.000141614,0.000141614
93,25213.1,1.83721,5.31975,1.4524,0.64603,0.55995,0.57272,0.22378,2.19451,7.38968,1.68667,0.000127467,0.000127467,0.000127467
94,25470.2,1.83671,5.26714,1.44943,0.63188,0.57247,0.57243,0.22198,2.19705,7.39831,1.68549,0.00011332,0.00011332,0.00011332
95,25727.4,1.82806,5.27347,1.45621,0.60915,0.57107,0.56968,0.22315,2.19822,7.40416,1.68814,9.91726e-05,9.91726e-05,9.91726e-05
96,25984.4,1.82453,5.22608,1.44935,0.6423,0.5586,0.56668,0.22371,2.19841,7.41576,1.68819,8.50255e-05,8.50255e-05,8.50255e-05
97,26241.4,1.82153,5.17687,1.44091,0.6481,0.55764,0.56859,0.22212,2.20231,7.42695,1.68838,7.08784e-05,7.08784e-05,7.08784e-05
98,26497.5,1.81988,5.19318,1.4374,0.63581,0.56107,0.5673,0.22316,2.20127,7.42104,1.68828,5.67313e-05,5.67313e-05,5.67313e-05
99,26757.6,1.8183,5.15539,1.44127,0.64559,0.56299,0.5671,0.22341,2.19659,7.42667,1.68695,4.25842e-05,4.25842e-05,4.25842e-05
100,27022,1.82518,5.14527,1.44075,0.63861,0.56514,0.56927,0.22357,2.20036,7.44098,1.68998,2.84371e-05,2.84371e-05,2.84371e-05
